@RELATION svm_paper_noise
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {002-Noise,001-Paper}

@DATA
0.007332,0.001728,0.237926,0.011329,0.012452,0.042532,0.000625,0.007514,-48.895408,-0.136861,-0.120411,0.054772,0.002518,0.015127,-0.048939,0.010733,0.012144,-0.001331,-0.008590,0.017315,-0.021829,0.000488,0.000521,0.000512,0.000839,0.154057,0.000230,0.000146,0.000108,0.000338,0.000252,0.000836,0.001923,0.043013,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.010352,0.004430,0.261076,0.013205,0.016334,0.055930,0.000871,0.009336,2.184266,0.214090,0.158658,0.091595,0.073719,0.034387,0.071014,0.024762,0.026976,0.013151,0.031763,0.038412,0.046126,0.000753,0.000731,0.000848,0.001333,0.015468,0.000545,0.000377,0.000243,0.000560,0.000566,0.001469,0.003958,0.003821,0.011940,0.003968,0.146586,0.011707,0.016503,0.044504,0.000770,0.005810,1.077314,0.176603,0.106924,0.069954,0.115356,0.040434,0.058696,0.027795,0.030466,0.022178,0.043889,0.047501,0.047864,0.000906,0.000790,0.001021,0.001463,0.009883,0.000763,0.000534,0.000352,0.000755,0.000813,0.001607,0.004885,0.002921,002-Noise
0.158503,0.012680,3.084483,0.195023,0.138267,1.341085,0.003516,0.239247,-26.631597,-0.768097,-0.386539,-1.015278,-0.148169,-0.723700,-0.409974,-0.406668,-0.164884,-0.041857,0.029296,0.026475,-0.041347,0.002012,0.002244,0.001843,0.002566,0.002242,0.002147,0.004032,0.002094,0.003825,0.004301,0.004201,0.004039,0.003034,0.000045,-0.001296,0.004271,-0.000441,-0.000421,0.011247,0.000020,0.000572,-0.003635,0.004000,-0.000701,-0.004785,0.001210,0.001570,-0.001158,-0.001810,0.000791,0.006300,-0.008642,0.002362,-0.000575,0.000028,0.000006,0.000055,0.000009,0.000022,0.000021,0.000021,0.000007,0.000040,0.000010,0.000010,-0.000038,0.000001,0.018251,0.008182,0.148393,0.018197,0.012020,0.225062,0.001552,0.050881,0.407579,0.402498,0.347111,0.285806,0.247627,0.262768,0.242132,0.232929,0.232631,0.215059,0.186390,0.184157,0.161681,0.001946,0.002462,0.001394,0.002726,0.002057,0.001622,0.002850,0.001592,0.003039,0.003873,0.003540,0.004430,0.001960,0.018106,0.012775,0.201520,0.020476,0.015324,0.268529,0.002215,0.067318,0.527627,0.529735,0.428671,0.317997,0.303136,0.344191,0.281550,0.252590,0.243484,0.217199,0.253356,0.227321,0.197384,0.002659,0.003425,0.001899,0.003986,0.002876,0.002181,0.003759,0.002186,0.003884,0.004707,0.005048,0.005100,0.002570,002-Noise
0.200132,0.075773,3.275487,0.208248,0.190685,1.310080,0.002305,0.228675,-22.344431,0.740557,-0.342387,0.086786,0.092486,-0.023637,0.205694,0.391054,-0.131129,-0.028316,0.372348,0.126761,0.114627,0.001736,0.001526,0.030915,0.003026,0.009650,0.002794,0.040213,0.000967,0.001867,0.001763,0.004770,0.001399,0.015230,0.001901,0.000368,0.004752,0.001125,0.000278,0.013144,0.000010,0.001969,0.007443,-0.016601,0.003588,0.002648,0.008314,0.007803,0.000022,0.002423,-0.006579,-0.004806,-0.000813,-0.004730,-0.000566,-0.000086,-0.000045,-0.000334,-0.000011,0.000057,-0.000022,-0.000208,-0.000047,-0.000250,-0.000400,-0.000172,-0.000069,-0.000099,0.020513,0.015337,0.055437,0.012355,0.006603,0.142185,0.000942,0.015303,0.253421,0.231713,0.191133,0.144108,0.174269,0.167098,0.142806,0.147323,0.135503,0.145246,0.163137,0.136002,0.127727,0.001119,0.001133,0.025448,0.002651,0.004834,0.002115,0.030857,0.000680,0.001948,0.002225,0.004597,0.000973,0.010796,0.016434,0.014499,0.066963,0.011823,0.008606,0.124003,0.001217,0.015013,0.254950,0.260766,0.244955,0.187975,0.213099,0.249373,0.184789,0.208933,0.175717,0.197967,0.231829,0.180763,0.173613,0.001524,0.001484,0.029714,0.003457,0.006494,0.002729,0.037102,0.000971,0.002291,0.002443,0.005610,0.001126,0.011996,002-Noise
0.202718,0.080002,3.278394,0.203705,0.186886,1.389870,0.002222,0.242151,-22.352053,0.734301,-0.292814,0.098695,0.029428,-0.046689,0.217003,0.306656,-0.128199,-0.012446,0.347085,0.137388,0.101387,0.002123,0.001940,0.029301,0.002204,0.012289,0.002955,0.041031,0.000842,0.002299,0.001909,0.005319,0.002133,0.014611,0.000100,-0.000934,0.000123,-0.000069,-0.000205,0.003142,0.000072,0.000299,-0.020582,-0.003244,0.003110,-0.003395,-0.001061,-0.004239,-0.001810,-0.005684,-0.001462,-0.001304,-0.000085,-0.000416,-0.005996,-0.000005,0.000013,-0.000088,0.000004,0.000010,0.000003,-0.000732,-0.000004,0.000370,0.000001,-0.000019,0.000007,-0.000152,0.016069,0.014490,0.033026,0.009115,0.006187,0.077490,0.000888,0.010428,0.264995,0.171890,0.167533,0.158895,0.162570,0.170359,0.139608,0.161440,0.134592,0.147197,0.131882,0.148126,0.134897,0.002144,0.002550,0.023530,0.001557,0.006105,0.002275,0.028645,0.000535,0.002506,0.001728,0.004406,0.002560,0.007908,0.018441,0.015584,0.045031,0.010012,0.007609,0.091580,0.000923,0.014752,0.251712,0.215600,0.229909,0.231263,0.223041,0.224073,0.201948,0.181729,0.174892,0.193630,0.178736,0.200446,0.177200,0.002392,0.002892,0.030935,0.001889,0.007741,0.003197,0.039360,0.000755,0.002228,0.002429,0.006449,0.002883,0.010197,002-Noise
0.027781,0.011294,3.030062,0.106358,0.178373,0.107055,0.007587,0.020363,-26.407423,3.671793,0.384853,-0.013155,0.000911,0.047798,-0.190060,0.120675,-0.125698,-0.102250,-0.188115,-0.160776,-0.022293,0.035498,0.003815,0.067660,0.028390,0.047805,0.009853,0.018335,0.001107,0.006889,0.017694,0.036912,0.003705,0.027184,0.000222,-0.000004,-0.000765,0.000093,-0.000046,0.001495,0.000040,0.000200,-0.000893,-0.000573,0.000453,-0.001324,-0.000368,-0.000057,-0.000246,0.000585,0.000258,-0.000437,0.001771,0.000551,-0.001203,0.000162,-0.000022,0.000406,-0.000083,-0.001070,-0.000108,-0.000103,0.000002,0.000037,0.000125,0.000164,-0.000060,-0.000223,0.009246,0.009496,0.147628,0.018465,0.017620,0.066639,0.003392,0.003699,0.727811,0.395160,0.235069,0.179327,0.161692,0.161478,0.165085,0.165566,0.155242,0.141543,0.144409,0.150069,0.154237,0.026769,0.003663,0.036617,0.024036,0.029589,0.007072,0.013253,0.001236,0.006418,0.010570,0.018198,0.003275,0.006706,0.010628,0.007876,0.214897,0.020777,0.023646,0.061693,0.004585,0.004519,0.526895,0.387929,0.231668,0.197892,0.207616,0.202117,0.221733,0.195150,0.183884,0.178678,0.198630,0.204551,0.196946,0.034764,0.004726,0.048519,0.032660,0.037416,0.009466,0.018711,0.001683,0.008150,0.012522,0.025213,0.004291,0.008622,002-Noise
0.028984,0.010512,3.061801,0.103385,0.175658,0.129206,0.008456,0.029519,-26.661944,3.633867,-0.049039,0.009373,0.121465,0.058467,-0.173420,0.057549,-0.133195,-0.088071,-0.135339,-0.112620,-0.006826,0.038539,0.004058,0.059873,0.027564,0.035523,0.009442,0.016114,0.002283,0.010508,0.014555,0.036657,0.004888,0.025351,-0.000295,0.000014,-0.001268,-0.000704,-0.000318,-0.005015,0.000070,-0.000653,0.023634,0.017434,-0.007420,-0.012412,-0.001545,0.003542,0.000045,0.001034,-0.002777,-0.005518,-0.000591,-0.001347,-0.003641,0.000162,-0.000001,0.000407,-0.000009,-0.000245,0.000129,-0.000942,-0.000001,0.000017,0.000038,0.000373,0.000013,-0.000080,0.007722,0.010955,0.123736,0.017359,0.020354,0.055163,0.003397,0.009276,0.818840,0.357579,0.229585,0.201049,0.162122,0.171764,0.169304,0.158015,0.177726,0.157393,0.143143,0.138964,0.145777,0.027463,0.003738,0.039271,0.018938,0.023399,0.007850,0.011316,0.002568,0.010082,0.010549,0.024365,0.003967,0.008209,0.008495,0.010635,0.178240,0.022793,0.028967,0.070055,0.004185,0.013460,0.667948,0.430480,0.268532,0.244030,0.225730,0.251322,0.207000,0.193335,0.213706,0.187695,0.201231,0.190956,0.198540,0.038317,0.005673,0.053583,0.025289,0.030040,0.011499,0.014321,0.003591,0.014658,0.013629,0.031772,0.004968,0.011107,002-Noise
0.011071,0.010599,3.016304,0.054661,0.097633,0.042976,0.016590,0.009510,-37.903384,2.149971,0.138592,0.088413,0.141863,0.124047,-0.096127,0.069624,-0.119220,-0.019854,-0.042160,0.032425,-0.033649,0.007869,0.001076,0.009054,0.011901,0.092672,0.007966,0.070064,0.000372,0.003807,0.006146,0.012384,0.001285,0.041198,-0.000876,0.000000,0.001117,-0.002250,-0.002567,-0.005773,0.000000,-0.000626,-0.149503,-0.020631,0.001529,0.002026,-0.002042,-0.006292,-0.003289,-0.001524,-0.004231,-0.002470,0.000455,-0.000207,-0.000657,-0.000078,-0.000018,-0.000732,-0.000121,0.001538,-0.000071,-0.000379,-0.000077,-0.000024,-0.000065,-0.000691,-0.000094,0.000218,0.009661,0.018346,0.282297,0.032015,0.034516,0.064684,0.044960,0.005430,2.774060,0.622052,0.226092,0.176614,0.150784,0.145044,0.139048,0.144654,0.133613,0.106984,0.105488,0.091489,0.063393,0.006389,0.001043,0.007815,0.010286,0.021019,0.008394,0.038686,0.000468,0.003794,0.005356,0.008375,0.001418,0.007666,0.007891,0.027579,0.395984,0.031366,0.040613,0.052857,0.088880,0.005944,2.717780,0.462122,0.221306,0.232411,0.228902,0.161280,0.216348,0.180051,0.180123,0.142374,0.130670,0.120184,0.080450,0.008001,0.001412,0.010283,0.013615,0.019088,0.012433,0.049890,0.000508,0.005528,0.007798,0.010472,0.001782,0.011417,002-Noise
0.145168,0.002644,3.046506,0.273293,0.210287,1.437544,0.003451,0.277214,-37.226637,0.429851,0.435363,0.367317,0.396603,-0.185512,0.288464,0.148457,0.058522,0.030218,0.052866,0.008083,-0.001422,0.002064,0.000948,0.023877,0.002558,0.054178,0.001721,0.071613,0.000908,0.001382,0.003985,0.008909,0.001254,0.029166,0.001511,-0.000000,0.002229,0.001408,-0.000031,0.017234,0.000021,0.003376,0.002727,-0.017025,0.001784,0.000498,0.006715,-0.004137,-0.000010,0.001522,-0.003624,-0.000976,0.000077,-0.000791,0.000250,0.000014,0.000025,-0.000070,0.000066,-0.000920,0.000057,-0.000193,0.000010,0.000013,0.000163,0.000031,0.000023,-0.000260,0.061108,0.005218,0.273956,0.036585,0.008532,0.466982,0.005062,0.120091,1.237667,0.433883,0.420039,0.235841,0.263876,0.175952,0.174650,0.199657,0.156383,0.152900,0.129494,0.150912,0.139391,0.001602,0.000625,0.018342,0.002224,0.039548,0.001140,0.048079,0.000725,0.001281,0.003516,0.007911,0.000795,0.010128,0.061003,0.006093,0.386069,0.034688,0.009807,0.589255,0.007090,0.151835,1.091708,0.453134,0.330785,0.282380,0.254404,0.231757,0.210845,0.263508,0.177619,0.223520,0.178311,0.223500,0.200380,0.002375,0.000837,0.025475,0.002990,0.049681,0.001582,0.059575,0.000977,0.001774,0.004777,0.011228,0.001134,0.012970,002-Noise
0.041579,0.018536,2.922444,0.133140,0.178852,0.280398,0.007851,0.047822,-25.404028,1.790814,0.262630,1.102886,0.085825,0.267654,0.299171,-0.057033,0.081738,0.101336,0.179176,0.116049,0.147270,0.003885,0.000649,0.080197,0.003061,0.038780,0.002969,0.115236,0.002538,0.001959,0.005151,0.047883,0.001225,0.043094,0.000458,-0.000706,-0.004418,0.000612,-0.000246,0.005427,0.000039,0.000799,-0.012845,-0.020218,-0.001578,0.002622,0.001499,0.000804,0.001195,-0.001818,0.002117,-0.000738,-0.002314,-0.001414,0.003735,-0.000038,0.000015,0.001485,-0.000014,-0.000404,0.000011,-0.001508,0.000008,0.000035,-0.000024,-0.000046,0.000012,-0.000172,0.019740,0.012934,0.209794,0.018873,0.020342,0.224861,0.004965,0.050646,1.013839,0.716498,0.305034,0.337922,0.270727,0.192954,0.236640,0.211476,0.197204,0.171073,0.154642,0.143375,0.173870,0.003409,0.000493,0.052661,0.002227,0.027394,0.003293,0.066633,0.003802,0.001885,0.004756,0.041052,0.001368,0.015821,0.018802,0.013854,0.258098,0.018194,0.021729,0.172708,0.006097,0.041723,0.798500,0.507472,0.300928,0.325637,0.260259,0.220647,0.297937,0.280436,0.227326,0.226089,0.183153,0.191920,0.223540,0.004648,0.000678,0.069306,0.003270,0.033786,0.004449,0.082744,0.004327,0.002219,0.006815,0.051438,0.001652,0.016973,002-Noise
0.002695,0.002093,3.112900,0.026085,0.050407,0.091274,0.014002,0.005218,-44.953559,0.678258,-0.035142,0.139082,0.037017,0.046264,0.036709,0.075540,0.089578,0.101790,0.072953,0.026362,-0.011109,0.001051,0.001166,0.016629,0.000688,0.126683,0.001021,0.056914,0.000277,0.000551,0.001452,0.008664,0.001386,0.050169,-0.000227,-0.000409,0.016185,-0.000796,-0.001179,0.000374,-0.000000,-0.000572,-0.284905,-0.012325,0.018635,-0.003110,0.005013,-0.000240,-0.007967,-0.004633,0.001961,-0.000849,-0.007782,-0.001310,0.005172,-0.000007,-0.000100,-0.000128,-0.000163,0.001611,-0.000354,-0.000192,-0.000068,-0.000042,-0.000059,-0.000050,-0.000023,0.000368,0.003250,0.002483,0.175390,0.015069,0.027712,0.017657,0.019149,0.005364,2.064888,0.410385,0.231539,0.095378,0.075787,0.073736,0.081887,0.064864,0.082462,0.081814,0.069072,0.074356,0.063371,0.001427,0.001707,0.014660,0.001037,0.017472,0.001734,0.056438,0.000427,0.000675,0.001728,0.012340,0.002052,0.011400,0.003957,0.003505,0.190892,0.016374,0.024518,0.015988,0.021891,0.007207,1.337278,0.311680,0.276500,0.069447,0.076773,0.077417,0.089116,0.064335,0.101275,0.085530,0.095948,0.095265,0.064883,0.002044,0.002601,0.017932,0.001364,0.012708,0.002095,0.052256,0.000573,0.000871,0.002408,0.015902,0.002927,0.013032,002-Noise
